t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
0.7793,1789123613.080,21021,junction,2.222,-11.333,0.872,44,32,0.188,0.188,117.8
0.7867,1789123613.088,21022,junction,2.204,-11.337,0.875,44,32,0.188,0.313,117.3
0.7946,1789123613.095,21023,junction,2.196,-11.336,0.875,43,32,0.188,0.313,117.9
0.8036,1789123613.104,21024,junction,2.214,-11.334,0.874,44,32,0.188,0.188,118.5
0.8123,1789123613.113,21025,junction,2.218,-11.333,0.871,43,32,0.188,0.188,117.8
0.8202,1789123613.121,21026,junction,2.195,-11.333,0.874,43,32,0.313,0.188,118.2
0.8292,1789123613.130,21027,junction,2.209,-11.337,0.872,44,32,0.188,0.188,118.6
0.8378,1789123613.139,21028,junction,2.196,-11.331,0.874,44,32,0.188,0.313,118.0
0.8455,1789123613.146,21029,junction,2.199,-11.334,0.872,44,32,0.188,0.188,118.4
0.8671,1789123613.168,21030,junction,2.211,-11.375,0.886,107,71,0.188,0.188,113.3
0.8750,1789123613.176,21031,junction,2.2,-11.334,0.875,44,32,0.188,0.313,103.8
0.8829,1789123613.184,21032,junction,2.196,-11.334,0.876,43,32,0.188,0.188,105.4
0.8920,1789123613.193,21033,junction,2.194,-11.336,0.875,44,32,0.188,0.313,106.9
0.8999,1789123613.201,21034,junction,2.219,-11.331,0.872,43,32,0.188,0.188,107.6
0.9096,1789123613.210,21035,junction,2.214,-11.334,0.875,44,32,0.188,0.188,108.8
0.9173,1789123613.218,21036,junction,2.206,-11.336,0.872,44,32,0.188,0.188,110.0
0.9252,1789123613.226,21037,junction,2.198,-11.334,0.871,43,32,0.188,0.188,110.2
0.9330,1789123613.234,21038,junction,2.182,-11.334,0.872,44,32,0.313,0.313,111.4
0.9424,1789123613.243,21039,junction,2.197,-11.337,0.873,43,32,0.188,0.313,112.6
0.9506,1789123613.251,21040,junction,2.199,-11.334,0.876,43,32,0.188,0.313,112.6
0.9584,1789123613.259,21041,junction,2.217,-11.333,0.875,44,32,0.188,0.188,113.6
0.9671,1789123613.268,21042,junction,2.223,-11.334,0.873,44,32,0.188,0.188,114.4
0.9751,1789123613.276,21043,junction,2.212,-11.334,0.876,44,32,0.188,0.188,114.2
0.9837,1789123613.285,21044,junction,2.206,-11.333,0.877,44,32,0.188,0.188,115.1
0.9924,1789123613.293,21045,junction,2.193,-11.33,0.872,44,32,0.188,0.313,115.8
1.0003,1789123613.301,21046,junction,2.188,-11.331,0.872,44,32,0.188,0.313,115.7
1.0089,1789123613.310,21047,junction,2.193,-11.334,0.876,44,32,0.188,0.313,116.4
1.0175,1789123613.318,21048,junction,2.22,-11.334,0.872,44,32,0.188,0.188,117.1
1.0262,1789123613.327,21049,junction,2.22,-11.334,0.875,44,32,0.188,0.188,116.6
1.0336,1789123613.334,21050,junction,2.196,-11.334,0.872,43,32,0.188,0.313,117.2
1.0424,1789123613.343,21051,junction,2.202,-11.334,0.873,43,32,0.188,0.313,117.9
1.0506,1789123613.351,21052,junction,2.201,-11.334,0.872,43,32,0.188,0.313,117.5
1.0582,1789123613.359,21053,junction,2.19,-11.339,0.871,44,32,0.188,0.313,118.1
1.0676,1789123613.368,21054,junction,2.221,-11.333,0.875,44,32,0.188,0.188,118.7
1.0759,1789123613.377,21055,junction,2.214,-11.331,0.875,43,32,0.188,0.188,118.0
1.0839,1789123613.385,21056,junction,2.186,-11.334,0.875,44,32,0.313,0.313,118.3
1.0926,1789123613.393,21057,junction,2.217,-11.334,0.872,44,32,0.188,0.188,118.8
1.1005,1789123613.401,21058,junction,2.206,-11.337,0.876,43,32,0.188,0.188,118.2
1.1089,1789123613.410,21059,junction,2.204,-11.333,0.872,43,32,0.188,0.188,118.7
1.1296,1789123613.430,21060,junction,2.216,-11.375,0.885,107,71,0.188,0.188,113.6
1.1376,1789123613.438,21061,junction,2.216,-11.331,0.875,43,32,0.188,0.188,104.1
1.1460,1789123613.447,21062,junction,2.187,-11.337,0.872,44,32,0.188,0.313,105.7
1.1546,1789123613.455,21063,junction,2.189,-11.334,0.875,43,32,0.313,0.188,107.2
1.1630,1789123613.464,21064,junction,2.195,-11.334,0.872,44,32,0.188,0.188,107.9
1.1712,1789123613.472,21065,junction,2.201,-11.337,0.875,44,32,0.188,0.188,109.2
1.1801,1789123613.481,21066,junction,2.216,-11.333,0.872,44,32,0.188,0.188,110.4
1.1877,1789123613.489,21067,junction,2.216,-11.334,0.872,43,32,0.188,0.188,110.5
1.1962,1789123613.497,21068,junction,2.196,-11.337,0.876,43,32,0.313,0.313,111.8
1.2052,1789123613.506,21069,junction,2.228,-11.334,0.875,44,32,0.188,0.188,112.9
1.2130,1789123613.514,21070,junction,2.208,-11.337,0.872,44,32,0.313,0.188,112.9
1.2212,1789123613.522,21071,junction,2.2,-11.331,0.873,43,32,0.188,0.313,113.9
1.2297,1789123613.531,21072,junction,2.195,-11.334,0.874,44,32,0.188,0.313,114.7
1.2386,1789123613.539,21073,junction,2.195,-11.334,0.875,44,32,0.188,0.313,114.4
1.2465,1789123613.547,21074,junction,2.203,-11.334,0.874,43,32,0.188,0.188,115.3
1.2548,1789123613.556,21075,junction,2.192,-11.331,0.871,43,32,0.188,0.313,116.0
1.2630,1789123613.564,21076,junction,2.214,-11.334,0.875,44,32,0.188,0.188,115.8
1.2714,1789123613.572,21077,junction,2.204,-11.33,0.871,44,32,0.188,0.313,116.6
1.2843,1789123613.585,21078,junction,2.191,-11.334,0.872,43,32,0.188,0.313,117.2
1.2878,1789123613.589,21079,junction,2.186,-11.333,0.873,44,32,0.188,0.313,116.7
1.2959,1789123613.597,21080,junction,2.212,-11.334,0.873,43,32,0.188,0.188,117.4
1.3047,1789123613.606,21081,junction,2.19,-11.334,0.876,44,32,0.188,0.313,118.0
1.3127,1789123613.614,21082,junction,2.193,-11.337,0.875,44,32,0.188,0.313,117.5
1.3212,1789123613.622,21083,junction,2.215,-11.331,0.878,44,32,0.188,0.188,118.2
1.3309,1789123613.632,21084,junction,2.22,-11.333,0.872,43,32,0.188,0.188,118.8
1.3409,1789123613.642,21085,junction,2.194,-11.334,0.871,44,32,0.188,0.313,118.1
1.3464,1789123613.647,21086,junction,2.182,-11.331,0.872,44,32,0.313,0.313,118.4
1.3559,1789123613.657,21087,junction,2.222,-11.334,0.872,43,32,0.188,0.188,118.8
1.3632,1789123613.664,21088,junction,2.197,-11.334,0.875,44,32,0.188,0.313,118.3
1.3717,1789123613.673,21089,junction,2.221,-11.336,0.872,43,32,0.188,0.188,118.7
1.3922,1789123613.693,21090,junction,2.218,-11.377,0.887,107,71,0.188,0.188,113.5
1.4007,1789123613.702,21091,junction,2.195,-11.333,0.872,44,32,0.188,0.313,104.1
1.4091,1789123613.710,21092,junction,2.21,-11.334,0.876,43,32,0.188,0.188,105.7
1.4176,1789123613.718,21093,junction,2.219,-11.334,0.872,44,32,0.188,0.188,107.2
1.4256,1789123613.726,21094,junction,2.193,-11.331,0.875,44,32,0.188,0.313,107.9
1.4344,1789123613.735,21095,junction,2.196,-11.337,0.875,43,32,0.188,0.313,109.1
1.4433,1789123613.744,21096,junction,2.215,-11.337,0.875,44,32,0.188,0.188,110.3
1.4508,1789123613.752,21097,junction,2.204,-11.334,0.877,43,32,0.188,0.188,110.5
1.4590,1789123613.760,21098,junction,2.221,-11.331,0.872,44,32,0.188,0.188,111.8
1.4683,1789123613.769,21099,junction,2.192,-11.331,0.875,44,32,0.313,0.188,112.9
1.4762,1789123613.777,21100,junction,2.195,-11.33,0.872,43,32,0.313,0.188,112.9
1.4837,1789123613.785,21101,junction,2.195,-11.334,0.875,43,32,0.313,0.188,113.9
1.4928,1789123613.794,21102,junction,2.191,-11.334,0.871,44,32,0.313,0.313,114.7
1.5042,1789123613.805,21103,junction,2.189,-11.336,0.875,44,32,0.188,0.313,112.9
1.5101,1789123613.811,21104,junction,2.211,-11.334,0.875,44,32,0.188,0.188,113.9
1.5192,1789123613.820,21105,junction,2.199,-11.334,0.872,43,32,0.188,0.313,114.8
1.5274,1789123613.828,21106,junction,2.2,-11.337,0.874,43,32,0.188,0.188,114.7
1.5359,1789123613.837,21107,junction,2.2,-11.337,0.876,43,32,0.188,0.188,115.6
1.5436,1789123613.844,21108,junction,2.202,-11.337,0.871,44,32,0.188,0.313,116.3
1.5521,1789123613.853,21109,junction,2.198,-11.333,0.872,44,32,0.188,0.188,115.9
1.5607,1789123613.862,21110,junction,2.195,-11.34,0.876,44,32,0.188,0.188,116.7
1.5692,1789123613.870,21111,junction,2.185,-11.334,0.872,44,32,0.313,0.313,117.4
1.5768,1789123613.878,21112,junction,2.184,-11.333,0.872,43,32,0.313,0.313,117.0
1.5851,1789123613.886,21113,junction,2.215,-11.333,0.872,44,32,0.188,0.188,117.7
1.5941,1789123613.895,21114,junction,2.205,-11.337,0.872,43,32,0.188,0.188,118.3
1.6023,1789123613.903,21115,junction,2.211,-11.334,0.872,43,32,0.313,0.188,117.6
1.6107,1789123613.912,21116,junction,2.215,-11.334,0.872,44,32,0.188,0.188,118.0
1.6195,1789123613.920,21117,junction,2.197,-11.334,0.875,44,32,0.313,0.188,118.6
1.6274,1789123613.928,21118,junction,2.202,-11.331,0.875,44,32,0.188,0.188,118.0
1.6355,1789123613.936,21119,junction,2.204,-11.334,0.873,43,32,0.188,0.188,118.4
1.6560,1789123613.957,21120,junction,2.213,-11.375,0.886,106,71,0.188,0.188,113.5
1.6659,1789123613.967,21121,junction,2.197,-11.334,0.872,44,32,0.188,0.313,104.0
1.6724,1789123613.973,21122,junction,2.2,-11.331,0.871,43,32,0.188,0.188,105.5
1.6812,1789123613.982,21123,junction,2.225,-11.337,0.871,43,32,0.188,0.188,107.1
1.6898,1789123613.991,21124,junction,2.205,-11.336,0.872,44,32,0.188,0.188,107.7
1.7008,1789123614.002,21125,junction,2.196,-11.336,0.873,43,32,0.313,0.188,109.0
1.7067,1789123614.008,21126,junction,2.198,-11.331,0.871,43,32,0.188,0.313,110.2
1.7180,1789123614.019,21127,junction,2.217,-11.335,0.875,44,32,0.188,0.188,110.3
1.7230,1789123614.024,21128,junction,2.183,-11.337,0.873,43,32,0.188,0.313,111.5
1.7325,1789123614.033,21129,junction,2.221,-11.333,0.872,43,32,0.188,0.188,112.6
1.7452,1789123614.046,21130,junction,2.217,-11.337,0.876,43,32,0.188,0.188,112.7
1.7484,1789123614.049,21131,junction,2.21,-11.336,0.871,44,32,0.313,0.188,113.7
1.7573,1789123614.058,21132,junction,2.195,-11.34,0.871,43,32,0.188,0.313,114.4
1.7655,1789123614.066,21133,junction,2.201,-11.337,0.873,44,32,0.188,0.188,114.2
