frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
77,2.5410,-3.9827,-4.2976,-7.3495,-7.1639,7.17,3,,-4.208,337.65,42,15.0,0,0.338
78,2.5740,-3.8556,-4.2416,-7.2935,-7.0921,6.28,3,,-4.245,337.65,42,14.7,0,0.357
79,2.6070,-3.9571,-4.2893,-7.3412,-7.0902,5.18,3,,-4.250,337.65,42,15.7,0,0.330
80,2.6400,-4.0225,-4.3521,-7.4040,-7.1374,4.00,3,,-4.263,337.65,42,14.3,0,0.356
81,2.6730,-3.9037,-4.3243,-7.3763,-7.1723,3.10,3,,-4.290,337.65,42,14.8,0,0.379
82,2.7060,-3.6050,-4.3406,-7.3925,-7.2151,2.32,3,,-4.517,337.65,44,13.0,0,0.408
83,2.7390,-3.5834,-4.0613,-7.1132,-7.1271,2.38,3,,-4.658,337.65,47,14.8,0,0.348
84,2.7720,-2.8334,-3.4433,-6.4953,-6.7996,3.72,1,57.607,-4.648,340.87,50,11.7,0,0.248
85,2.8050,-2.4400,-2.5356,-5.5876,-6.1866,6.36,1,63.571,-4.088,334.90,53,12.9,0,0.122
86,2.8380,-1.7936,-1.7316,-4.7835,-5.4397,9.26,1,71.434,-3.481,327.04,57,11.8,0,0.184
87,2.8710,-0.9609,-1.1869,-4.2388,-4.7313,11.43,1,0.135,-3.333,318.34,57,14.6,0,0.097
88,2.9040,-0.5089,-0.6739,-3.7258,-4.0715,12.95,3,,-2.759,318.34,54,13.8,0,0.118
89,2.9370,-0.0956,-0.4455,-3.4974,-3.5781,13.31,3,,-2.785,318.34,45,13.9,0,0.107
90,2.9700,1.1220,0.7558,-2.2961,-2.7597,15.35,2,30.188,-2.775,318.34,41,14.7,1,0.195
91,3.0030,0.9368,0.2344,-2.8175,-2.5071,13.98,2,42.230,-3.073,318.34,41,18.1,1,0.220
92,3.0360,0.4390,0.5213,-2.5306,-2.2640,12.81,3,,-3.450,318.34,50,15.5,0,0.229
93,3.0690,1.1614,1.6398,-1.4121,-1.6482,13.85,1,66.452,-3.555,332.02,55,16.1,0,0.244
94,3.1020,2.2874,2.2158,-0.8361,-1.0315,14.71,1,0.403,-4.202,318.07,55,16.9,0,0.174
95,3.1350,2.0247,2.2260,-0.8259,-0.6720,14.03,3,,-4.960,318.07,52,16.6,0,0.113
96,3.1680,4.1136,3.2001,0.1481,-0.0483,14.89,2,28.404,-5.781,290.07,41,15.7,0,0.126
97,3.2010,4.9440,2.9845,-0.0674,0.2134,13.66,2,43.122,-6.336,275.35,41,17.7,0,0.261
98,3.2340,5.1075,4.3179,1.2660,0.9349,15.12,3,,-7.111,275.35,50,14.2,0,0.397
99,3.2670,5.4891,5.4365,2.3846,1.8616,17.42,1,70.296,-7.624,248.18,56,14.7,0,0.347
100,3.3000,6.0979,6.5452,3.4933,2.9121,19.98,3,,-7.468,248.18,52,14.8,0,0.252
101,3.3330,6.2512,6.3813,3.3294,3.4625,19.40,3,,-7.378,248.18,46,13.4,0,0.176
102,3.3660,7.4601,7.8024,4.7505,4.3942,20.97,3,,-7.440,248.18,35,11.8,0,0.421
103,3.3990,8.1343,6.8603,3.8084,4.5111,17.87,3,,-7.294,248.18,32,12.2,0,0.217
104,3.4320,7.4554,6.7123,3.6604,4.4526,14.38,3,,-7.090,248.18,40,10.5,0,0.173
105,3.4650,7.5933,7.7075,4.6556,4.8049,13.72,1,68.132,-6.596,250.34,50,10.8,0,0.435
106,3.4980,7.7020,8.0110,4.9591,5.1233,13.00,1,1.917,-5.733,236.56,48,11.3,0,0.398
107,3.5310,7.8341,7.5484,4.4965,5.0771,10.44,1,16.277,-4.486,222.20,40,12.0,0,0.347
108,3.5640,8.3273,7.5667,4.5148,5.0135,8.24,2,29.742,-3.174,208.73,39,11.5,0,0.116
109,3.5970,7.1363,6.1128,3.0608,4.2843,2.85,2,44.906,-2.213,193.57,39,13.7,0,0.184
